customer_id,segment,alert_level,financial_health,finshield_score,is_flagged,recommended_actions
C10000,Highly Leveraged,WATCHLIST,POOR,419.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10001,Strong Saver,WATCHLIST,POOR,417.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10002,Strong Saver,WATCHLIST,POOR,336.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10003,Strong Saver,WATCHLIST,POOR,438.0,0,Offer Financial Planning Session
C10004,Strong Saver,NORMAL,GOOD,726.0,0,Continue Standard Monitoring
C10005,Highly Leveraged,WATCHLIST,POOR,380.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10006,Strong Saver,WATCHLIST,POOR,402.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10007,Strong Saver,WATCHLIST,POOR,335.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10008,Strong Saver,WATCHLIST,POOR,390.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10009,Highly Leveraged,NORMAL,GOOD,702.0,0,Continue Standard Monitoring
C10010,Strong Saver,NORMAL,FAIR,506.0,0,Continue Standard Monitoring
C10011,Standard,WATCHLIST,POOR,305.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10012,Highly Leveraged,NORMAL,FAIR,464.0,0,Continue Standard Monitoring
C10013,Active Investor,NORMAL,GOOD,618.0,0,Continue Standard Monitoring
C10014,Highly Leveraged,WATCHLIST,POOR,395.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10015,Strong Saver,WATCHLIST,POOR,379.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10016,Highly Leveraged,NORMAL,FAIR,490.0,0,Continue Standard Monitoring
C10017,Active Investor,WATCHLIST,POOR,355.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10018,Strong Saver,WATCHLIST,POOR,391.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10019,Active Investor,NORMAL,GOOD,685.0,0,Encourage Emergency Savings Buffer
C10020,Highly Leveraged,NORMAL,FAIR,457.0,0,Continue Standard Monitoring
C10021,Strong Saver,NORMAL,GOOD,663.0,0,Continue Standard Monitoring
C10022,Strong Saver,WATCHLIST,POOR,313.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10023,Active Investor,WATCHLIST,POOR,340.0,0,Offer Financial Planning Session
C10024,Highly Leveraged,WATCHLIST,POOR,418.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10025,Highly Leveraged,WATCHLIST,POOR,317.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10026,Active Investor,PRIORITY ALERT,POOR,405.0,1,Reduce Loan Exposure; Offer Financial Planning Session; Manual Fraud Review
C10027,Strong Saver,NORMAL,GOOD,667.0,0,Continue Standard Monitoring
C10028,Highly Leveraged,WATCHLIST,POOR,382.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10029,Strong Saver,NORMAL,GOOD,686.0,0,Continue Standard Monitoring
C10030,Active Investor,WATCHLIST,POOR,340.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10031,Strong Saver,NORMAL,GOOD,693.0,0,Continue Standard Monitoring
C10032,Strong Saver,NORMAL,FAIR,460.0,0,Continue Standard Monitoring
C10033,Strong Saver,NORMAL,GOOD,679.0,0,Continue Standard Monitoring
C10034,Strong Saver,WATCHLIST,POOR,408.0,0,Offer Financial Planning Session
C10035,Standard,NORMAL,GOOD,689.0,0,Continue Standard Monitoring
C10036,Strong Saver,WATCHLIST,POOR,418.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10037,Standard,NORMAL,GOOD,661.0,0,Continue Standard Monitoring
C10038,Highly Leveraged,NORMAL,GOOD,691.0,0,Continue Standard Monitoring
C10039,Strong Saver,NORMAL,GOOD,710.0,0,Continue Standard Monitoring
C10040,Strong Saver,NORMAL,GOOD,662.0,0,Continue Standard Monitoring
C10041,Active Investor,NORMAL,FAIR,586.0,0,Continue Standard Monitoring
C10042,Highly Leveraged,WATCHLIST,POOR,384.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10043,Active Investor,CREDIT ALERT,CRITICAL,271.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10044,Strong Saver,NORMAL,GOOD,722.0,0,Continue Standard Monitoring
